#,Category,Attack mintlify page,Paper,Venue,Date,Code,Attacker,Victim,Detect,Threat,replicable?,Direction,Target layer,What it injects / does,,Detection key,
1,IMSI/SUPI,Passive IMSI (NSA),IMSI Catchers in the Wild,Comput. Netw.,Jul-2021,LTESniffer,Passive sniffer,Subscriber,Neither,Passive RF,5/5,Passive sniff (no TX),NAS / LTE attach,Nothing injected — reads IMSI in cleartext on the LTE anchor → identity leak,,RF AI,Detectable from a passive air-interface sniffer + ML classifier
2,IMSI/SUPI,Uplink SUPI extract,SNI5GECT (Luo et al.),USENIX '25,Aug-2025,Sni5Gect,SDR (sniff+inject),UE,RF AI,Active RF,4/5,DL inject + UL sniff,NAS pre-auth (Identity),Injects spoofed Identity Request; harvests uplink Identity Response → SUPI/SUCI capture,,BS Logs,Requires gNB / 5G-core / SBA telemetry to detect
3,Fake BS,SIB1 spoofing,The attacks aren't alright (Heijligenberg et al.),CSET '24,Aug-2024,5G-Spector,Rogue gNB,UE,RF AI,Rogue gNB,4/5,Downlink,Broadcast (SIB1),Rogue gNB broadcasts forged SIB1 → misconfig / lure / DoS,,Both,Observable from either side
4,Fake BS,Cell reselection,The attacks aren't alright (Heijligenberg et al.),CSET '24,Aug-2024,No,Rogue gNB,UE,RF AI,Rogue gNB,4/5,Downlink,Idle-mode RRC / SIB reselection,Spoofed reselection priorities/offsets → UE camps on rogue cell,,Neither,"Attacker is passive or out-of-band; effectively undetectable, only mitigatable"
5,Fake BS,Femtocell field study,"Small Cell, Big Risk",NDSS '26,Feb-2026,No,Compromised femtocell,Subscriber + Operator,Both,Physical / Internet,2/5,Both (full small cell),Whole stack + backhaul,Operates a compromised femtocell → intercept/manipulate subscriber + operator,,,
6,Downgrade,5G-to-2G bidding-down,Never Let Me Down Again,WiSec '23,May-2023,No,Rogue gNB,UE,Both,Rogue gNB,4/5,Downlink (rogue gNB),RRC/NAS security-capability negotiation,Forces capability downgrade / redirect → fallback to insecure 2G,,Threat model key,
7,Pre-Auth,SNI5GECT (sniff+inject),SNI5GECT (Luo et al.),USENIX '25,Aug-2025,Sni5Gect,SDR (sniff+inject),UE modem,RF AI,Active RF,4/5,DL (+UL since v3.0),RRC/NAS pre-auth,"Injects crafted pre-auth messages, no rogue cell → crash, downgrade, SUCI-catch, AKA bypass",,Passive RF,"Sniffer in radio coverage, no transmission"
8,Pre-Auth,5GHOUL (modem fuzz),5GHOUL Disclosure,IEEE TDSC '25,Jun-2025,5ghoul-5g-nr-attacks,Rogue gNB,UE modem,RF AI,Rogue gNB,5/5,Downlink (rogue gNB),Pre-auth RRC/NAS (baseband parser),Injects malformed/fuzzed pre-auth frames → modem crash / hang / DoS,,Active RF,"Transmits on the air (overshadowing, injection, jammer) but no full fake cell"
9,Pre-Auth,CONSET (LLM fuzz),CONSET,USENIX '26,Aug-2026,not yet,Rogue gNB,UE modem,RF AI,Rogue gNB,2/5,Downlink (rogue gNB),Pre-auth RRC semantics,Injects LLM-crafted semantically-inconsistent pre-auth messages → baseband 0-days,,Rogue gNB,Full fake base station that the UE attaches to
10,DoS,PRACH jam (99.9%),Smart PRACH Jamming,GLOBECOM '24,Dec-2024,5G-PRACH-Smart-Jammer,Jammer SDR,Cell users (all UEs),Both,Active RF,5/5,Uplink,PHY — PRACH,"Jams PRACH preamble occasions (smart/selective) → blocks random access, cell-wide DoS",,Relay gNB,Two SDRs sitting between victim UE and a real gNB
11,DoS,RACH Msg1 jam,Jamming RACH in 5G/B5G,arXiv '26,Feb-2026,OAI+B210,Jammer SDR,Cell users,Both,Active RF,5/5,Uplink,PHY — RACH Msg1,Duty-cycled jamming of Msg1 preambles → random-access denial,,Rogue UE,Attacker-controlled UE sending crafted uplink (NAS/RRC) messages
12,DoS,RRC flood,5G-Spector,NDSS '24,Feb-2024,5G-Spector,Rogue UEs,gNB,Both,Rogue UE,4/5,Uplink (rogue UEs),RRC connection setup,Floods RRCSetupRequests → gNB resource exhaustion DoS,,SBA,Needs IP-level reach into the operator's 5G core / Service-Based Architecture
13,DoS,AMF crash,RANsacked (Bennett et al.),CCS '24,Oct-2024,No,Rogue UE,AMF (5GC),BS Logs,Rogue UE,3/5,Uplink (rogue UE),NAS → AMF,Sends malformed NAS → AMF assertion/crash (core DoS),,Backhaul,"Needs reach to transport between RAN and core (N3/N9, GTP)"
14,Fuzzing,RANsacked (97 CVEs),RANsacked,CCS '24,Oct-2024,ASNFuzzGen (private),Rogue UE / gNB,5GC NFs,BS Logs,Rogue UE,4/5,Uplink (rogue UE/gNB),NAS / NGAP → 5GC NFs,Fuzzed NAS/NGAP reaching the core → crashes/exploits across NFs,,Internet,Public-Internet attacker (only when operator misconfigures exposure)
15,Fuzzing,5GBaseChecker (13 0-days),Logic Gone Astray,USENIX '24,Aug-2024,5GBaseChecker,Rogue gNB,UE modem,RF AI,Rogue gNB,3/5,Downlink (rogue gNB),Control-plane state machine,Crafted control messages (differential testing) → baseband logic 0-days,,Physical / Internet,Both local-physical and remote-Internet access surfaces
16,Fuzzing,Open5GS vulns,Open5GS Vulnerability Assessment,MDPI '24,Dec-2023,Open5GS,Network attacker,5GC,BS Logs,SBA,4/5,Core / IP (no air),SBA / SBI,Malformed core-interface messages → NF vulns / DoS,,Physical,"Needs hardware access to a device (femtocell, CPE, modem)"
17,Fuzzing,"CoreCrisis (5GC, 8 CVEs)",CoreCrisis,USENIX '25,Aug-2025,CoreCrisis,Network attacker (SBA),5GC,BS Logs,SBA,4/5,Core / SBA (no air),5GC SBA,Stateful SBI fuzzing → 5GC crashes,,,
18,Fuzzing,Baseband emulation cluster,Stateful + BaseBridge + LLFuzz + FirmState,S&P '25 / WiSec '25,May-2025,partial,Rogue gNB / emulator,UE modem,RF AI,Rogue gNB,3/5,Downlink (rogue gNB / emulator),Baseband L1–L3,Cross-layer fuzzed frames (OTA + emulation) → baseband memory corruptions,,,
19,Location,C-RNTI tracking,Demystifying Privacy 5G SA,MobiCom '24,Nov-2024,5GSniffer,Passive sniffer,Subscriber,Neither,Passive RF,5/5,Passive sniff (no TX),PHY/MAC — PDCCH/DCI (C-RNTI),Nothing injected — reads C-RNTI to link/track subscriber,,,
20,Location,GUTI Visual-RF correlation,Passive Multi-Target GUTI ID,NDSS '26,Feb-2026,No,Sniffer + camera,Subscriber,Neither,Passive RF,3/5,Passive sniff + camera,Paging / GUTI,Nothing injected — correlates GUTI paging with camera → identify/track,,,
21,GTP,GTP-U hijack,Invade the Walled Garden,S&P '25,May-2025,No,Internet attacker,UPF / subscriber traffic,BS Logs,Internet,1/5,Internet / N3 (no air),GTP-U user plane,Forged GTP-U tunnel packets → hijack subscriber traffic,,,
22,GTP,Hidden Paths in 5G,Uncovering Hidden Paths,CCS '25,Oct-2025,No,Backhaul attacker,5GC / cross-PLMN,BS Logs,Backhaul,2/5,Backhaul (no air),Transport / cross-PLMN,Exploits undocumented routing paths → cross-PLMN reach,,,
23,SBA,CITesting (context integrity),CITesting,CCS '25,Oct-2025,No,Network attacker,5GC,BS Logs,SBA,3/5,Core / SBA (no air),NF context integrity,Context-integrity-violating requests → 5GC integrity breaks,,,
24,O-RAN,Interface exploit,5G-Spector,NDSS '24,Feb-2024,5G-Spector,Malicious xApp / E2 attacker,gNB / RIC,BS Logs,SBA,4/5,RIC / E2 (no air),O-RAN E2 interface,Malicious xApp / E2 messages → manipulate gNB / RIC,,,
25,Overshadowing,SigOver (signal overshadowing),Hiding in Plain Signal (Yang et al.),USENIX '19,Aug-2019,sigover_injector,SDR overshadow (no rogue cell),LTE UE,RF AI,Active RF,4/5,Downlink,Broadcast (MIB/SIB/paging),"Overshadows broadcast system info on the air, no rogue cell → DoS, downgrade, tracking",,,
26,Overshadowing,AdaptOver (adaptive overshadowing),AdaptOver (Erni et al.),MobiCom '22,Oct-2022,No,SDR overshadow (DL+UL),UE,RF AI,Active RF,3/5,DL and UL,NAS (reactive),"Reactively overshadows NAS messages (Attach/Service Reject, Identity Request) → DoS, IMSI extract",,,
27,Overshadowing,5Gone (uplink overshadowing),5Gone (Erni et al.),arXiv '26,Feb-2026,No (traces only),SDR uplink overshadow,UE / subscriber,RF AI,Active RF,2/5,Uplink,MAC/RRC/NAS pre-auth,"Overshadows uplink (Msg3/Registration) at the gNB → cell-wide DoS, LTE downgrade, SUCI extraction/replay",,,
